filename,cell_number,center_of_mass_x,center_of_mass_y,mass,perimeter,spheroid_width,spheroid_height,spheroid_volume,spheroid_surface_area,mass,perimeter,mass/cell_mass,mass/perimeter,expectation_x,expectation_y,covariance_1,covariance_2,scatter_ratio
sample01-tr.png,27,399.206349,402.465608,378.000000,67.000000,24.567106,20.005567,5148.187565,1452.319856,76856.546483,67.000000,203.324197,1147.112634,399.813695,402.436182,5.983772,4.873104,0.059330
sample01-tr.png,28,424.435374,500.607143,588.000000,74.000000,29.809832,25.363634,10041.095387,2260.982847,117001.830371,74.000000,198.982705,1581.105816,424.863258,500.548733,7.277366,6.113680,0.058845
sample01-tr.png,29,381.506718,42.664107,521.000000,76.000000,27.213351,24.436058,8508.302738,2019.566199,99715.403193,76.000000,191.392329,1312.044779,381.815315,41.875471,6.510706,6.016229,0.058903
sample01-tr.png,30,433.913444,79.731123,543.000000,78.000000,29.294787,23.656871,8584.273827,2043.386517,108423.349830,78.000000,199.674677,1390.042947,434.346170,79.584572,7.209039,5.693534,0.059226
sample01-tr.png,31,475.695929,211.969466,786.000000,93.000000,35.449603,28.244467,14807.330758,2941.918333,158287.111995,93.000000,201.383094,1702.011957,475.753724,211.755475,8.859310,6.987366,0.061826
sample01-tr.png,32,407.402685,447.062640,447.000000,71.000000,25.479797,22.448092,6722.850780,1727.424892,91737.427941,71.000000,205.229145,1292.076450,407.584407,447.065483,6.293069,5.397667,0.059387
sample01-tr.png,33,423.946746,47.627219,1183.000000,115.000000,43.514589,34.638898,27337.679655,4427.756454,228969.597715,115.000000,193.549956,1991.039980,423.990358,47.403327,10.883777,8.516369,0.061494
sample01-tr.png,34,480.522222,385.762963,810.000000,96.000000,38.128218,27.143855,14709.170708,2959.689715,158421.895734,96.000000,195.582587,1650.228081,480.932941,385.558721,9.478620,6.559163,0.060072
sample01-tr.png,35,474.334421,57.934747,613.000000,84.000000,30.061494,26.142078,10756.956484,2364.549471,115980.953932,84.000000,189.202209,1380.725642,474.948055,57.936698,7.251417,6.362240,0.058706
sample01-tr.png,36,397.258278,334.348786,453.000000,70.000000,24.364290,23.708939,7170.948485,1798.563085,88048.151412,70.000000,194.366780,1257.830734,397.280743,334.187098,5.956142,5.761845,0.059410
sample01-tr.png,37,258.853748,313.689214,547.000000,78.000000,28.727326,24.313561,8891.826402,2085.606151,108250.548997,78.000000,197.898627,1387.827551,259.063969,313.621176,7.135896,5.897233,0.060249
sample01-tr.png,38,461.986343,83.789074,659.000000,87.000000,30.747514,27.447619,12128.803781,2558.619738,121549.745033,87.000000,184.445744,1397.123506,462.850965,83.714924,7.555702,6.515465,0.058332
sample01-tr.png,39,487.133495,264.165049,412.000000,68.000000,25.846557,20.360144,5610.002110,1541.719274,89579.465151,68.000000,217.425886,1317.345076,487.130631,264.211013,6.362664,4.907049,0.059330
sample01-tr.png,40,466.926230,356.073770,488.000000,74.000000,25.916117,24.003765,7818.569224,1906.998151,98407.499887,74.000000,201.654713,1329.831080,466.918683,355.922935,6.431322,5.835472,0.060329
sample01-tr.png,41,400.756793,121.434783,736.000000,90.000000,31.871406,29.450827,14474.208867,2875.341695,136693.714098,90.000000,185.725155,1518.819046,401.332139,121.544051,7.779923,7.203625,0.059707
sample01-tr.png,42,91.741071,256.636905,336.000000,61.000000,23.652024,18.129682,4070.495647,1247.725428,67659.090013,61.000000,201.366339,1109.165410,91.991360,256.764987,5.833121,4.428717,0.060245
sample01-tr.png,43,498.194651,137.320951,673.000000,86.000000,31.744198,27.067047,12177.124474,2570.923487,130783.200503,86.000000,194.328678,1520.734890,498.135879,137.154902,7.647451,6.716737,0.059782
sample01-tr.png,44,328.647436,202.732906,468.000000,72.000000,24.702366,24.204180,7577.360312,1865.783983,85715.824856,72.000000,183.153472,1190.497567,329.189965,202.177234,6.095026,5.829042,0.059422
sample01-tr.png,45,294.936097,229.936097,579.000000,80.000000,28.246374,26.215948,10164.650710,2271.451576,105200.288648,80.000000,181.693072,1315.003608,295.469502,230.009038,6.730174,6.363716,0.057837
sample01-tr.png,46,287.157233,207.216981,318.000000,59.000000,21.802033,18.631156,3962.554400,1216.159857,65338.035141,59.000000,205.465519,1107.424324,287.110652,207.277619,5.270250,4.601804,0.059707
