filename,cell_number,center_of_mass_x,center_of_mass_y,mass,perimeter,spheroid_width,spheroid_height,spheroid_volume,spheroid_surface_area,mass,perimeter,mass/cell_mass,mass/perimeter,expectation_x,expectation_y,covariance_1,covariance_2,scatter_ratio
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,19,127.227273,297.305195,308.000000,58.000000,21.154634,18.584549,3825.676278,1186.379137,41822.000000,59.000000,135.785714,708.847458,126.750036,296.910573,4.931036,4.041555,0.050691
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,20,190.712062,249.723735,257.000000,52.000000,20.352158,16.121763,2769.709063,962.636547,40328.000000,52.000000,156.918288,775.538462,190.685082,250.431412,4.865895,3.663628,0.054331
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,21,8.705426,144.957364,258.000000,55.000000,21.208005,15.713420,2741.826019,961.795974,36525.000000,55.000000,141.569767,664.090909,8.155784,144.833374,4.830281,3.496780,0.050684
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,22,66.187050,338.384892,278.000000,54.000000,21.536016,16.484683,3064.256866,1032.660623,38674.000000,54.000000,139.115108,716.185185,66.388995,337.823835,4.928609,3.734932,0.051851
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,23,124.019380,385.523256,258.000000,54.000000,20.644027,15.975132,2758.556943,961.876413,37032.000000,54.000000,143.534884,685.777778,124.568157,385.700934,4.890579,3.600523,0.053393
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,24,189.387417,340.430464,302.000000,56.000000,21.038789,18.392424,3726.467080,1166.038019,39729.000000,56.000000,131.552980,709.446429,188.952604,340.030507,4.924101,3.894189,0.049555
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,25,8.467811,116.660944,233.000000,54.000000,20.574568,14.561351,2284.192462,855.639232,36962.000000,54.000000,158.635193,684.481481,8.240571,115.849575,4.819603,3.443114,0.055390
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,26,253.040650,120.069106,246.000000,53.000000,19.372389,16.256767,2680.712153,938.181632,37432.000000,53.000000,152.162602,706.264151,252.631599,120.414378,4.835826,3.581725,0.054998
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,27,246.637450,417.920319,251.000000,52.000000,18.432981,17.360848,2908.948737,986.088830,33594.000000,52.000000,133.840637,646.038462,246.381497,417.795886,4.686743,3.578789,0.052413
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,28,313.483636,282.269091,275.000000,55.000000,20.945038,16.757868,3079.763311,1032.415214,37780.000000,55.000000,137.381818,686.909091,312.473266,282.494044,4.992523,3.599036,0.051192
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,29,248.808917,299.089172,314.000000,59.000000,22.061833,18.204878,3828.386516,1191.017695,41567.000000,59.000000,132.378981,704.525424,248.855534,299.020930,5.120045,3.899834,0.049715
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,30,196.741007,12.136691,278.000000,55.000000,21.588272,16.451331,3059.275285,1031.948756,39514.000000,55.000000,142.136691,718.436364,195.796199,12.399276,5.078615,3.639028,0.052037
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,31,252.390244,149.689895,287.000000,54.000000,21.426778,17.138038,3295.168900,1080.035199,39704.000000,55.000000,138.341463,721.890909,251.879609,150.051733,5.097490,3.617747,0.050220
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,32,68.959596,249.040404,297.000000,58.000000,20.855311,18.168507,3604.572769,1140.655600,42856.000000,58.000000,144.296296,738.896552,68.448945,248.526204,4.945593,3.961927,0.051712
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,33,8.087137,205.439834,241.000000,54.000000,21.126251,14.832679,2433.661796,893.371446,33468.000000,54.000000,138.871369,619.777778,7.557787,205.247879,4.752143,3.314767,0.050269
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,34,123.110410,475.047319,317.000000,59.000000,22.495620,17.963514,3800.836311,1188.024792,37238.000000,59.000000,117.470032,631.152542,123.100193,474.916725,5.087814,3.810536,0.047976
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,35,187.500000,429.782895,304.000000,57.000000,21.505296,18.041756,3665.233396,1155.743773,38647.000000,57.000000,127.128289,678.017544,187.098429,429.246332,4.993803,3.919557,0.050448
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,36,10.059441,26.853147,286.000000,55.000000,20.793368,17.543253,3350.763006,1088.292846,41674.000000,55.000000,145.713287,757.709091,9.376998,26.299875,4.993402,3.829096,0.052415
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,37,374.347032,123.324201,219.000000,49.000000,19.028643,14.674578,2145.545330,813.736541,35239.000000,49.000000,160.908676,719.163265,374.168478,123.243509,4.706484,3.365869,0.056731
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,38,186.624506,459.739130,253.000000,53.000000,20.320243,15.882842,2684.009044,943.680367,34582.000000,53.000000,136.687747,652.490566,186.399399,458.889711,4.914262,3.531490,0.053772
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,39,122.614679,504.394495,218.000000,46.000000,19.208830,14.514442,2118.849992,808.438273,34262.000000,46.000000,157.165138,744.826087,122.505254,504.286323,4.841790,3.458157,0.060055
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,40,311.564576,372.029520,271.000000,53.000000,21.489288,16.115495,2922.186681,1002.360614,35930.000000,53.000000,132.583026,677.924528,310.588394,371.792736,5.059898,3.496939,0.051093
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,41,316.482877,104.674658,292.000000,56.000000,21.649790,17.342618,3409.428980,1104.735556,39197.000000,56.000000,134.236301,699.946429,316.030104,104.580606,5.058978,3.679364,0.049576
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,42,369.625984,420.724409,254.000000,53.000000,20.587978,15.772643,2681.768197,944.760971,31324.000000,53.000000,123.322835,591.018868,368.513696,420.388903,4.840678,3.488329,0.052000
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,43,310.653509,179.127193,228.000000,50.000000,18.408375,15.805985,2408.004148,872.307589,29973.000000,51.000000,131.460526,587.705882,310.522770,178.801755,3.956731,3.888467,0.052878
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,44,248.900000,328.518519,270.000000,53.000000,19.608603,17.579981,3173.087639,1046.428550,37817.000000,53.000000,140.062963,713.528302,248.444747,328.586324,4.855123,3.699378,0.052103
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,45,310.410853,431.379845,258.000000,54.000000,20.915449,15.748502,2716.090834,954.298550,33458.000000,54.000000,129.682171,619.592593,309.459890,431.532190,4.912315,3.554553,0.053011
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,46,309.301075,461.802867,279.000000,55.000000,22.923437,15.508104,2886.660720,1005.461149,35030.000000,55.000000,125.555556,636.909091,308.648787,461.191265,5.213667,3.447306,0.050557
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,47,314.292887,164.874477,239.000000,55.000000,20.720947,15.559205,2626.533976,933.444250,37641.000000,55.000000,157.493724,684.381818,314.157382,164.315852,4.855446,3.612856,0.054410
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,48,372.398438,243.183594,256.000000,52.000000,20.197816,16.195104,2773.770430,962.690294,36699.000000,52.000000,143.355469,705.750000,371.958963,242.348838,4.877417,3.549568,0.052927
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,49,6.218750,411.406250,160.000000,46.000000,19.083839,11.009125,1211.071949,576.585107,20295.000000,46.000000,126.843750,441.195652,5.612811,411.316580,4.163877,2.435048,0.048260
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,50,133.470968,43.496774,155.000000,46.000000,17.747856,11.601722,1250.804504,578.280242,25268.000000,46.000000,163.019355,549.304348,133.225186,43.377236,4.334189,2.753734,0.057964
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,51,7.303738,294.897196,214.000000,52.000000,20.732241,13.479164,1972.289943,783.984760,28782.000000,53.000000,134.495327,543.056604,6.716872,294.638142,4.653393,3.016451,0.050229
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,52,372.770642,212.536697,218.000000,48.000000,19.099924,14.564609,2121.426202,808.423614,35200.000000,48.000000,161.467890,733.333333,372.488182,212.481108,4.792094,3.384641,0.058305
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,53,310.195745,342.948936,235.000000,50.000000,18.883673,15.946553,2514.309472,898.613684,35665.000000,50.000000,151.765957,713.300000,310.387130,342.575971,4.774120,3.660497,0.058034
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,54,311.853503,267.528662,157.000000,45.000000,15.862292,12.927257,1387.961147,606.066890,24045.000000,45.000000,153.152866,534.333333,311.525847,267.841422,3.878484,2.943266,0.055670
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,55,370.679070,301.600000,215.000000,47.000000,19.350327,14.209026,2045.575759,791.868206,33652.000000,47.000000,156.520930,716.000000,370.455486,301.437329,4.759795,3.373617,0.058402
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,56,9.392000,54.752000,250.000000,50.000000,20.433765,15.725984,2645.956348,935.959473,38683.000000,50.000000,154.732000,773.660000,8.720859,55.393144,4.894608,3.505890,0.053401
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,57,246.037288,478.050847,295.000000,56.000000,20.924738,17.982388,3542.855135,1128.359017,36435.000000,56.000000,123.508475,650.625000,245.511184,477.698751,4.995977,3.832523,0.050886
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,58,435.021739,285.807971,276.000000,55.000000,21.956036,16.038047,2957.028719,1012.923979,35314.000000,55.000000,127.949275,642.072727,434.084556,285.194880,5.077180,3.504770,0.050533
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,59,374.759857,153.720430,279.000000,55.000000,22.146353,16.062049,2991.594786,1021.553014,38398.000000,55.000000,137.627240,698.145455,373.950701,153.179124,5.106934,3.601092,0.051700
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,60,376.063830,64.265957,282.000000,55.000000,21.590621,16.826058,3200.578910,1061.434992,36808.000000,55.000000,130.524823,669.236364,375.617800,63.890622,5.022278,3.579342,0.049483
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,61,190.981481,176.777778,162.000000,45.000000,16.457927,12.875291,1428.525061,619.721086,25643.000000,45.000000,158.290123,569.844444,190.803689,176.656280,4.102043,2.987630,0.057836
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,62,125.099415,401.064327,171.000000,46.000000,17.431974,12.634130,1456.920542,632.384016,23261.000000,46.000000,136.029240,505.673913,124.535661,400.752848,4.353179,2.877954,0.056885
str515_229_raff2_to_gal2_various_exposures_4V_00_str515_GFP_006_tp000001_Brightfield_002.jpg,63,438.859438,107.349398,249.000000,52.000000,20.145813,15.778758,2626.207589,929.927803,34633.000000,52.000000,139.088353,666.019231,437.837150,107.050847,4.858550,3.515177,0.053727
